ID, Time, Condition, ROI_Average, P7, TP7, CP5
1,-200.400802,1,0.340455,0.317159,0.586615,0.117591
1,-198.396794,1,0.376604,0.282228,0.560552,0.287032
1,-196.392786,1,0.485883,0.292208,0.546982,0.618460
1,-194.388778,1,0.649991,0.329462,0.554019,1.066493
1,-192.384770,1,0.813786,0.352060,0.566641,1.522657
1,-190.380762,1,0.948000,0.350912,0.587931,1.905156
1,-188.376754,1,1.091434,0.379784,0.663321,2.231196
1,-186.372745,1,1.262493,0.468738,0.792902,2.525840
1,-184.368737,1,1.401743,0.563968,0.911332,2.729930
1,-182.364729,1,1.461138,0.608845,0.991032,2.783538
1,-180.360721,1,1.510217,0.649688,1.077244,2.803718
1,-178.356713,1,1.615428,0.738267,1.163909,2.944108
1,-176.352705,1,1.725298,0.838087,1.176887,3.160919
1,-174.348697,1,1.804556,0.936204,1.112125,3.365338
1,-172.344689,1,1.863912,1.035814,1.026517,3.529405
1,-170.340681,1,1.886709,1.105449,0.946124,3.608556
1,-168.336673,1,1.885852,1.151045,0.890361,3.616151
1,-166.332665,1,1.900641,1.183416,0.880982,3.637525
1,-164.328657,1,1.912924,1.155663,0.916874,3.666235
1,-162.324649,1,1.890239,1.055070,0.983059,3.632587
1,-160.320641,1,1.894108,0.983349,1.084168,3.614807
1,-158.316633,1,1.990974,1.008927,1.238722,3.725272
1,-156.312625,1,2.142217,1.080261,1.425312,3.921078
1,-154.308617,1,2.237803,1.095882,1.578455,4.039071
1,-152.304609,1,2.216538,0.998933,1.679249,3.971430
1,-150.300601,1,2.089681,0.795062,1.748695,3.725287
1,-148.296593,1,1.946907,0.594521,1.803084,3.443117
1,-146.292585,1,1.880223,0.514484,1.840554,3.285632
1,-144.288577,1,1.871545,0.525448,1.838422,3.250765
1,-142.284569,1,1.836643,0.519794,1.788063,3.202072
1,-140.280561,1,1.750046,0.466403,1.726679,3.057058
1,-138.276553,1,1.634386,0.387133,1.685951,2.830073
1,-136.272545,1,1.502552,0.296403,1.671022,2.540231
1,-134.268537,1,1.370710,0.227843,1.682553,2.201732
1,-132.264529,1,1.237884,0.191341,1.701132,1.821180
1,-130.260521,1,1.054594,0.114184,1.679868,1.369731
1,-128.256513,1,0.839613,-0.011698,1.608441,0.922097
1,-126.252505,1,0.686258,-0.093546,1.521125,0.631193
1,-124.248497,1,0.628049,-0.072043,1.423693,0.532497
1,-122.244489,1,0.604588,0.013443,1.275599,0.524723
1,-120.240481,1,0.539104,0.080106,1.037210,0.499996
1,-118.236473,1,0.429397,0.107515,0.735601,0.445075
