ID, Time, Condition, ROI_Average, P8, TP8, CP6
1,-200.400802,1,0.734539,0.822097,0.990256,0.391262
1,-198.396794,1,0.784855,0.922226,0.681959,0.750380
1,-196.392786,1,0.804994,0.907488,0.431173,1.076319
1,-194.388778,1,0.837610,0.828202,0.308172,1.376456
1,-192.384770,1,0.904080,0.736905,0.350160,1.625176
1,-190.380762,1,1.002352,0.634055,0.606967,1.766035
1,-188.376754,1,1.083709,0.463614,1.036502,1.751012
1,-186.372745,1,1.115375,0.201950,1.499253,1.644922
1,-184.368737,1,1.134224,-0.082129,1.897964,1.586837
1,-182.364729,1,1.177381,-0.329750,2.258793,1.603100
1,-180.360721,1,1.239075,-0.572395,2.656838,1.632781
1,-178.356713,1,1.300459,-0.808745,3.063768,1.646354
1,-176.352705,1,1.333928,-0.987490,3.362392,1.626881
1,-174.348697,1,1.329541,-1.117329,3.517607,1.588345
1,-172.344689,1,1.324909,-1.210827,3.600129,1.585426
1,-170.340681,1,1.353687,-1.255191,3.679248,1.637003
1,-168.336673,1,1.397398,-1.280060,3.768063,1.704191
1,-166.332665,1,1.419689,-1.296672,3.827034,1.728706
1,-164.328657,1,1.406896,-1.245203,3.798416,1.667477
1,-162.324649,1,1.349663,-1.133700,3.675853,1.506835
1,-160.320641,1,1.259096,-1.066325,3.553003,1.290610
1,-158.316633,1,1.181692,-1.051854,3.489399,1.107532
1,-156.312625,1,1.129752,-1.056439,3.449047,0.996648
1,-154.308617,1,1.052037,-1.096566,3.345734,0.906942
1,-152.304609,1,0.895635,-1.192510,3.097849,0.781565
1,-150.300601,1,0.632659,-1.367590,2.671455,0.594111
1,-148.296593,1,0.251807,-1.681591,2.132201,0.304812
1,-146.292585,1,-0.149059,-2.107809,1.685893,-0.025259
1,-144.288577,1,-0.404261,-2.472319,1.495052,-0.235518
1,-142.284569,1,-0.513251,-2.686222,1.472239,-0.325769
1,-140.280561,1,-0.598758,-2.823655,1.444197,-0.416817
1,-138.276553,1,-0.722304,-2.962394,1.333390,-0.537908
1,-136.272545,1,-0.869565,-3.123737,1.159458,-0.644417
1,-134.268537,1,-1.003892,-3.271970,0.971765,-0.711472
1,-132.264529,1,-1.130350,-3.363894,0.745679,-0.772835
1,-130.260521,1,-1.296494,-3.376659,0.384611,-0.897434
1,-128.256513,1,-1.513733,-3.328814,-0.120563,-1.091822
1,-126.252505,1,-1.741236,-3.284537,-0.650746,-1.288426
1,-124.248497,1,-1.935585,-3.271078,-1.096395,-1.439283
1,-122.244489,1,-2.063939,-3.246750,-1.420059,-1.525008
1,-120.240481,1,-2.089246,-3.142863,-1.612843,-1.512033
1,-118.236473,1,-2.003788,-2.946280,-1.683088,-1.381998
1,-116.232465,1,-1.897364,-2.743532,-1.730846,-1.217713
1,-114.228457,1,-1.894922,-2.601297,-1.905092,-1.178376
1,-112.224449,1,-1.993076,-2.493509,-2.175570,-1.310149
1,-110.220441,1,-2.071269,-2.383045,-2.355165,-1.475596
1,-108.216433,1,-2.040794,-2.281318,-2.336711,-1.504354
1,-106.212425,1,-1.865571,-2.115295,-2.151630,-1.329789
1,-104.208417,1,-1.563914,-1.810455,-1.892869,-0.988417
1,-102.204409,1,-1.233755,-1.448927,-1.655054,-0.597285
1,-100.200401,1,-0.965664,-1.112778,-1.498864,-0.285348
1,-98.196393,1,-0.761356,-0.764482,-1.426090,-0.093497
1,-96.192385,1,-0.569108,-0.337571,-1.386770,0.017016
1,-94.188377,1,-0.356293,0.098404,-1.300315,0.133032
